foodId,label,category,foodContentsLabel,image
6111266962187,Lait,"en:dairies, en:meals, en:milks-liquid-and-powder, en:milks, en:semi-skimmed-milks",Lait frais pasteurisé demi-écrémé à 15g/l de matière grasse,https://images.openfoodfacts.org/images/products/611/126/696/2187/front_fr.56.400.jpg
6111242101180,uht jaouda 1L,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:uht-milks, en:whole-milks, en:cow-milks, en:whole-milk-uht",Lait entier,https://images.openfoodfacts.org/images/products/611/124/210/1180/front_fr.79.400.jpg
6111242100817,Le Lait demi écrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:cow-milks","جودة حليب طبيعي نصف الدسم معقم يحتوي على 15 ال من المواد الدهنية المكونات حليب نصف الدسم حليب من مزرعة جودة حليب UHT جودة خالص لا يحتوي على مواد حافظة. يتم الإحتفاظ به 6 أشهر خارج الثلاجة لأنه : يخضع لمعالجة حرارية UHT (درجة حرارة جد مرتفعة) و التي تقضي على الكائنات المجهرية. يعبأ في علبة معقمة مكونة من 6 طبقات تحميه من كل تلوث خارجي. Le lait UHT Jaouda ne contient pas de conservateurs. Si le lait UHT se conserve à température ambiante pendagt 6 mois, c'est parce que: - 1l subit un traitement thermique UHT (Ultra Haute Température) qui détruit tous les micro-organismes. - Il est conditionné dans un emballage aseptique de ó couches le protégeant de toute contamination extérieure.",https://images.openfoodfacts.org/images/products/611/124/210/0817/front_en.36.400.jpg
8420756010320,kéfir nature b6 b12  699g,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:fermented-foods, en:fermented-milk-products, en:milks-liquid-and-powder, en:dairy-drinks, en:fermented-drinks, en:milks, en:fermented-milk-drinks","حليب, حليب نصف منزوع الدسم, قشطة الحليب, تخمير الكفير, الخمائر اللبنية, فيتامين B6, فيتامين B12",https://images.openfoodfacts.org/images/products/842/075/601/0320/front_fr.27.400.jpg
6111032000600,Salim,"en:dairies, en:milks-liquid-and-powder, en:milks",gluten free,https://images.openfoodfacts.org/images/products/611/103/200/0600/front_en.51.400.jpg
6111242101050,LBEN CARTON PASTEURISER,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:fermented-foods, en:fermented-milk-products, en:milks-liquid-and-powder, en:dairy-drinks, en:fermented-drinks, en:milks, en:fermented-milk-drinks, en:plain-fermented-skimmed-milk-drink","Lait frais partiellement écrémé, ferments lactiques.matière grasse 14g/L",https://images.openfoodfacts.org/images/products/611/124/210/1050/front_fr.39.400.jpg
6111250470742,Lait U.H.T entier,"en:dairies, en:milks, en:homogenized-milks, en:uht-milks, en:whole-milks, en:cow-milks",lait,https://images.openfoodfacts.org/images/products/611/125/047/0742/front_fr.29.400.jpg
6111126003821,Lait Frais 15 jours,"en:dairies, en:milks-liquid-and-powder, en:milks, en:pasteurised-products, en:fresh-milks, en:pasteurised-milks, en:cow-milks",lait entier pasteurisé,https://images.openfoodfacts.org/images/products/611/112/600/3821/front_fr.20.400.jpg
6111242103528,Croissance réduit en sucre,"en:dairies, en:milks-liquid-and-powder, en:baby-foods, en:milks, en:baby-milks, en:growth-milks","Lait partiellement écrémé, lactose, huiles végétales non hydrogénées (colza, tournesol), malto-dextrines, saccharose, lécithine de tournesol, arôme vanille, vitamines : A, B1, B2, B5, B6, B8, B9, B12, C, D3, E, K1, PP, taurine, sels minéraux: citrate de calcium, citrate de magnésium, sulfates de fer, de cuivre, de zinc et de manganèse, iodure de potassium, sélénite de sodium.",https://images.openfoodfacts.org/images/products/611/124/210/3528/front_fr.76.400.jpg
6111032000631,Salim,"en:dairies, en:milks-liquid-and-powder, en:milks",حليب كامل الدسم,https://images.openfoodfacts.org/images/products/611/103/200/0631/front_ar.19.400.jpg
6111266962651,lait,"en:dairies, en:milks-liquid-and-powder, en:milks, en:semi-skimmed-milks",lait demi-écrémé,https://images.openfoodfacts.org/images/products/611/126/696/2651/front_fr.14.400.jpg
6111250012416,Le bon lait,"en:dairies, en:milks, fr:maroc",lait,https://images.openfoodfacts.org/images/products/611/125/001/2416/front_fr.22.400.jpg
3248340054063,Lait demi écrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks",lait demi-écrémé stérilisé UHT,https://images.openfoodfacts.org/images/products/324/834/005/4063/front_fr.193.400.jpg
6111242105638,Lait sans lactose,"en:dairies, en:milks, en:homogenized-milks, en:uht-milks, en:lactose-free-milk","Lait entier sans lactose, vitamines: A, D,",https://images.openfoodfacts.org/images/products/611/124/210/5638/front_fr.24.400.jpg
